CA230334,C12941,Capulí,no,Museo del Oro,Colombia,donacion Área Cultural Cúcuta,,
CA230335 , C14003,Tuza,no,Museo del Oro,Colombia,"Desconocido"" Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado)",,siz pointed swastika? With crabs
CA230336 , C14000,Piartal - 2,no,Museo del Oro,Colombia - Desconocido ,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,positive red paint
CA230337 , C05519,Piartal - 2,no,Museo del Oro,Nariño,Compra a Ángel Peña,,"diamond upper, dots on base"
CA230338 , C13983,Piartal - 2,no,Museo del Oro,Colombia ,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,pasto star
CA230339 , C13992,Piartal - 1,no,Museo del Oro,Colombia ,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,geometric - very worn with pitting
CA230340 , C12934,Capulí,no,Museo del Oro,Colombia ,donacion Área Cultural Cúcuta,,holding hands
CA230341 , C06213,Tuza,no,Museo del Oro,Pupiales,compra a R.P. Adolfo  Filippi,,geometric exterior
CA230343 , C05533,Tuza,no,Museo del Oro,Nariño,Compra a Ángel Peña,,hatched interior
CA230344 , C05531,Tuza,no,Museo del Oro,Nariño,Compra a Ángel Peña,,burnished on top of red paint
CA230345 , C14001,Tuza,no,Museo del Oro,Colombia ,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,lightening bolt - burnished on top of red paint
CA230347 , C13752,Piartal - 2,no,Museo del Oro,Nariño,tenencia a María Victoria Uribe,,geometric - very worn with pitting
CA230348 , C04870,Capulí,no,Museo del Oro,Colombia,compra a Camilo Orbes,,circle motif
CA230349 , C05539,Capulí,no,Museo del Oro,Nariño,Compra a Ángel Peña,,circle motif
CA230350 , C09908,Capulí,no,Museo del Oro,Nariño,Compra a Guillermo Cano Mejía,,circle motif w/ geometric
CA230352 , C03989,Piartal - 1,no,Museo del Oro,Pupiales,compra a Camilo Orbes,,very shiny with 4 pointed triangular decoration
CA230353 , C06216,Tuza,no,Museo del Oro,Pupiales,Compra a Ángel Peña,,"geometric, mix of lines and dots on the interior"
CA230354 , C05511,Tuza,no,Museo del Oro,Nariño,Compra a Ángel Peña,,hatched interior with birds
CA230355 ,459,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 10,spiraling triangle
CA230356 ,30,Piartal - 1,yes,Catambuco - Site 8,Site 8 - Catambuco,Monitoreo,8 M 3,geometric interior with triangles
CA230357 ,22,Piartal - 2,yes,Catambuco - Site 8,Site 8 - Catambuco,Corte 3,,geometric interior
CA230358 ,462,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 10,"diamond upper, dots on the base, plastic monkey on exterior"
CA230359 ,457,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 10,human depicted 
CA230360 ,28,Piartal - 1,yes,Catambuco - Site 8,Site 8 - Catambuco,Monitoreo,8 M 3,pasto star
CA230361 ,35,Piartal - 1,yes,Catambuco - Site 8,Site 8 - Catambuco,Monitoreo,8 M 3,spiraling triangle on interior
CA230362 ,45,Piartal - 1,yes,Catambuco - Site 8,Site 8 - Catambuco,Monitoreo,8 M 3,geometric interior with ladder
CA230363 ,437,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 7,heavily worn
CA230364 ,61,Piartal - 1,yes,Catambuco - Site 8,Site 8 - Catambuco,Corte 3,,geometric interior with ladder
CA230365 ,266,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Corte 7,137 C7 1,diamond upper 
CA230366 ,262,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Corte 7,137 C7 1,diamond upper 
CA230369 ,21,Piartal - 1,yes,Catambuco - Site 8,Site 8 - Catambuco,Corte 3 ,,swastika
CA230370 ,32,Piartal - 1,yes,Catambuco - Site 8,Site 8 - Catambuco,Monitoreo,8 M 3,simple cross with two dots
CA230372 ,365,Capulí - no paint,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 1,incision on rim
CA230373 ,373,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 1,diamond upper
CA230374 ,345,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Monitoreo,137 LS 1,diamond upper
CA230375 ,350,Capulí - no paint,yes,El Porvenir - Site 137,Site 137 - Porvenir,Monitoreo,137 M 2,incision on rim
CA230376 ,367,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 1,"diamond upper, squiggle on base"
CA230377 ,401,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 4,"diamond upper, dots on base"
CA230378 ,396,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 4,Spiraling triangle
CA230379 ,378,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 3,diamond upper
CA230381 ,455,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 10,"incision on rim, diamond upper"
CA230382 ,452,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 10,spiraling triangle
CA230383 ,356,Capulí - no paint,yes,El Porvenir - Site 137,Site 137 - Porvenir,Monitoreo,137 M 4,no dec
CA230386 ,368,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 1,"diamond upper, dots on base"
CA230387 ,420,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 5,diamond upper - decorated interior
CA230388 ,416,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 5,diamond upper
CA230389 ,445,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 8,diamond upper 
CA230390 ,380,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 2,diamond upper
CA230392 ,425,Capulí,yes,El Porvenir - Site 137,Site 137 - Porvenir,Deslizamiento,137 LS 6,undecorated
CA230401 , BOM197,Tuza,no,Bomboná,Bomboná,Los Eucaliptos,,red positive interior
CA230402 , BOM240,Tuza,no,Bomboná,Bomboná,Olleros,,crosshatching with deer
CA230403 , BOM252,Piartal - 1,no,Bomboná,Bomboná,,,
CA230404 , BOM181,Piartal - 2,no,Bomboná,Bomboná,Aguacate,,step pattern
CA230405 , BOM261,Capulí,no,Bomboná,Bomboná,Los Eucaliptos,,"incision on rim, diamond upper"
CA230406 , BOM096,Tuza,no,Bomboná,Bomboná,Los Eucaliptos,,birds on rim
CA230407 , BOM165,Tuza,no,Bomboná,Bomboná,Aguacate,,ladder pattern
CA230408 , BOM189,Tuza,no,Bomboná,Bomboná,Los Eucaliptos,,positive red all over
CA230410 , BOM210,Tuza,no,Bomboná,Bomboná,Aguacate,,red geometric isolated to near lip
CA230411 , BOM182,Tuza,no,Bomboná,Bomboná,Aguacate,,"brown geometric, isolated to near lip"
CA230412 , BOM179,Tuza,no,Bomboná,Consacá,,,"brown geometric, isolated to near lip"
CA230413 , BOM229,Tuza - Red slip,no,Bomboná,Bomboná,Aguacate,,positive red all over
CA230416 , OBO007,Piartal - 1,yes,Obonuco,Obonuco,,,"geometric interior, ladder triangles"
CA230417 , OBO011,Piartal - 1,yes,Obonuco,Obonuco,,,"geometric interior, spirals"
CA230422 , OBO015,Piartal - 1,yes,Obonuco,Obonuco,,,pasto star
CA230423 , OBO030,Piartal - 1,yes,Obonuco,Obonuco,,,"geometric interior, ladder triangles"
CA230424 , OBO039,Piartal - 1,yes,Obonuco,Obonuco,,,pasto star
CA230428 , SAN075,Tuza,yes,Catambuco - San Damián,San Damian,Rasgo 36,SD 18,"brown geometric, crosshatching"
CA230429 , SAN077,Tuza,yes,Catambuco - San Damián,San Damian,"Poligono A, Rasgo 95",SD 50,"brown geometric, isolated to near lip"
CA230430 , SAN078,Tuza - Red slip,yes,Catambuco - San Damián,San Damian,Monitoreo,,positive red all over
CA230431 , SAN074,Piartal - 1,yes,Catambuco - San Damián,San Damian,Sector Aola,SD 3,positive red triangles
CA230432 , SAN076,Piartal - 1,yes,Catambuco - San Damián,San Damian,"Poligono B, Rasgo 50",SD 28,eight point star
CA230434 , SAN083,Piartal - 1,yes,Catambuco - San Damián,San Damian,"Poligono BIII, Rasgo 133",SD 73,swastika
CA230714 , C03364,Piartal - 2,no,Museo del Oro,Pupiales,compra a Camilo Orbes,,geometric interior with triangles
CA230715 , C03990,Tuza,no,Museo del Oro,Pupiales,compra a Camilo Orbes,,hatched interior
CA230716 , C03991,Piartal - 1,no,Museo del Oro,Pupiales,compra a Camilo Orbes,,ladder motif
CA230717 , C03993,Piartal - 1,no,Museo del Oro,Pupiales,compra a Camilo Orbes,,diamond upper
CA230718 , C04118,Tuza,no,Museo del Oro,Pupiales,compra a Camilo Orbes,,hatched interior with monkeys
CA230719 , C04120,Tuza,no,Museo del Oro,Pupiales,compra a Camilo Orbes,,"negative black designed interior, exterior has checkered pattern"
CA230720 , C04122,Tuza,no,Museo del Oro,Pupiales,compra a Camilo Orbes,,siz pointed swastika? With monkeys on the rim
CA230721 , C04123,Tuza,no,Museo del Oro,Pupiales,compra a Camilo Orbes,,anthropomorphic figure - warrior?
CA230722 , C13735,Piartal - 2,no,Museo del Oro,Nariño,tenencia María Victoria Uribe,,interior paint - geometric
CA230723 , C13737,Piartal - 2,no,Museo del Oro,Nariño,tenencia María Victoria Uribe,,"diamond upper, pitting on the interior"
CA230724 , C13744,Tuza,no,Museo del Oro,Nariño,tenencia María Victoria Uribe,,"triangular design on interior, ladder on exterior"
CA230725 , C13747,Piartal - 2,no,Museo del Oro,Nariño,tenencia María Victoria Uribe,,monkeys
CA230726 , C13751,Piartal - 2,no,Museo del Oro,Nariño,tenencia María Victoria Uribe,,ladder motif
