name,V1,V2,V3,V4,V5,V6,V7,V8,V9,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85
CA230334,CA230334,C12941,Capulí,no,Museo del Oro,Colombia,donacion Área Cultural Cúcuta,,,0.36219784,-0.021845737,0.034064506,0.025286366,0.007524823,0.004575117,-0.008969821,0.00456988,-0.031059971,0.001281453,-0.012181961,0.011860412,-0.007390475,0.005386621,-0.004067585,0.01398995,-0.004770774,-0.003365227,0.005654453,-0.001996936,0.002180561,-0.000470578,0.001185219,-0.002206035,0.006078614,-0.002394169,0.005845888,-0.006500678,0.005822552,-0.003918852,0.000369831,-0.0018269,0.000180722,-0.002011171,-0.001589264,0.000296455,0.002850992,-0.00116279,-0.003185319,0.001934209,0.003110406,-0.000972713,-0.001870145,-0.000979731,0.001205354,0.00055417,0.001401471,-0.001394286,-4.08E-05,-0.000208644,-3.62E-06,-0.001054913,-0.000691587,0.000258476,0.000373591,0.000188406,0.000133968,0.000220812,0.001374823,-0.000334456,-0.000416373,-0.000283854,-0.000364326,-5.05E-05,-0.000199899,-0.000202932,0.000256863,0.00014621,0.000171522,0.000124477,2.35E-05,2.78E-05,2.62E-05,3.72E-06,0.000125913,2.38E-06,4.01E-05,2.29E-05,7.09E-06,7.00E-05,1.31E-05,4.40E-06,3.47E-05,1.60E-05,1.96E-16
CA230335,CA230335,C14003,Tuza,no,Museo del Oro,Colombia,"Desconocido"""" Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado)",,siz pointed swastika? With crabs,-0.192370778,0.004196736,0.04990002,-0.011918933,0.00010453,-0.028089103,-0.013326512,0.00103827,-0.001057246,0.001597173,-0.006041348,-0.003932065,0.00450202,0.011520259,-0.007255054,0.002434037,0.004792404,0.002801475,0.000984649,0.001455866,0.002078372,-0.002931809,-0.001025776,-0.001305798,0.000684767,0.002441391,0.000432183,-0.000811047,0.000673732,0.002918468,0.003765849,0.001219525,0.001167032,-0.001810425,-0.000554309,0.000537147,0.001187026,0.000929189,0.000612363,-0.000956034,0.000425532,6.11E-05,0.002723638,0.000822325,-0.000100735,0.000335874,0.000849997,-0.000409879,-0.000397377,0.000438589,0.000512743,0.001033648,-0.000562462,-0.000104507,-0.000467701,7.77E-05,0.000468205,0.000558832,-9.01E-05,0.000280269,-4.32E-05,0.000874758,0.000419712,-0.000467187,0.000657116,-0.000365774,0.000343998,0.000627609,0.000579913,0.000439619,-0.000329772,6.27E-05,0.000183215,0.000617058,-1.25E-05,-8.63E-05,0.000364152,-3.07E-05,0.000282795,-7.86E-05,-0.00021243,2.89E-06,2.00E-08,0.000102057,-2.51E-18
CA230336,CA230336,C14000,Piartal,no,Museo del Oro,Colombia - Desconocido,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,positive red paint,-0.236570251,-0.007877161,0.12144086,-0.00714684,0.026342831,0.012688586,-0.008713242,-0.011778676,0.006807147,0.003266899,0.016738018,-0.006831654,-0.000364642,-0.011825693,-0.005350899,0.012652034,-0.006029011,-0.000971395,0.000279756,0.006165397,-0.004260581,0.007994452,-0.005521229,0.001647851,0.005472317,0.002950431,9.00E-05,-0.004305969,-0.005579165,-0.003096344,-0.002249377,-0.00189633,0.000895814,-7.01E-05,-0.000241547,0.000661694,-0.00242097,-0.000916297,0.001818304,-0.001898594,-0.000709311,0.000471928,-3.47E-05,-4.58E-05,0.000256794,-4.22E-06,0.000591011,0.000423898,-0.000131353,-0.000107132,6.09E-05,-0.000612899,-0.000117002,-0.001572111,-0.000169567,0.000313007,0.000505456,-0.000262585,0.000527341,0.00021487,-0.000670887,-0.000111141,-0.000463052,-6.89E-05,0.000608484,-0.000360655,0.000600006,0.000329234,-0.00018408,-0.000666236,-2.06E-05,0.000128899,0.000166474,-4.23E-05,-0.00040752,-5.35E-05,-3.97E-05,4.28E-05,-0.000119428,-3.19E-05,3.02E-05,3.99E-05,-3.45E-05,0.000118994,-1.55E-16
CA230337,CA230337,C05519,Piartal,no,Museo del Oro,Nariño,Compra a Ángel Peña,,"diamond upper, dots on base",-0.227582992,0.043415623,0.011984308,0.005701033,-0.001727657,0.012793395,0.019556323,-0.007487584,0.008537737,-0.003575052,-0.005630697,0.009665589,0.000135574,-0.004140767,0.001250609,-0.000406849,0.006173872,0.002236502,0.000360201,-0.002263737,0.008015445,-0.002542798,0.001790446,-0.006661199,0.005349354,0.000526195,2.61E-05,0.000666363,-0.000911366,0.001195026,0.001686155,-9.10E-05,-0.002913546,0.001407083,0.001355128,0.000195916,0.002838215,0.000827044,6.12E-05,0.000960667,0.000656255,0.001685534,-0.000981007,0.000370242,0.000224557,-0.000967116,-0.001090328,-0.000753066,5.30E-05,0.000550301,9.90E-05,-0.001319674,-0.001551693,-0.001545648,0.000968677,0.000631005,0.000116521,0.000360996,-0.001406874,-9.61E-05,-0.000266234,0.000120507,7.84E-05,-0.000851931,0.000204862,-0.000753433,-0.000513899,-9.74E-05,-0.000329031,-0.000172867,0.000281983,7.33E-05,-0.000496793,6.22E-05,-9.34E-05,-0.00030491,0.00013325,-0.000161218,-0.000185093,-6.26E-05,2.23E-05,-8.05E-05,8.14E-05,2.13E-05,-1.92E-16
CA230338,CA230338,C13983,Piartal,no,Museo del Oro,Colombia,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,pasto star,-0.234599222,0.076268677,-0.079361668,0.006119429,-0.011425392,0.045752843,-0.010936886,0.011538177,-0.008462431,-0.000173084,0.005833005,-0.004242521,-0.013457986,0.009277203,0.006108701,-0.004624604,0.002946915,-0.005505172,-0.008626566,-0.003474852,0.006035471,-0.004394373,-0.001221653,-0.000562907,0.006670676,0.002482341,0.002044392,0.000450405,-0.002036072,-0.001383683,-0.000669256,0.00235074,-0.000601253,-0.003263458,0.000495263,0.000100265,-0.001467423,0.000474683,0.001054863,0.000393912,-0.000723052,0.00097509,-0.000719121,0.000585671,-0.001421471,0.000154112,-0.00030923,-0.000251299,0.002447732,-0.000188213,1.73E-05,-0.00023463,7.62E-05,0.000875999,-0.001109576,0.000313552,0.00068534,0.000724753,0.000967133,0.000118745,-0.000729172,0.000265782,0.000594726,-4.26E-06,0.000282067,-1.28E-05,5.06E-05,-0.00022486,0.000140697,-0.000149299,2.58E-05,0.000163438,-6.59E-05,9.62E-05,0.000104252,-3.33E-05,-0.00039903,-0.000341047,0.000142863,1.45E-05,7.49E-05,0.00022139,2.28E-05,3.33E-06,-2.49E-16
CA230339,CA230339,C13992,Piartal,no,Museo del Oro,Colombia,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,geometric - very worn with pitting,-0.107348081,-0.045536779,-0.015263081,0.013014991,-0.000770809,-0.037932085,0.020292387,-0.004688072,-0.001560173,-0.007733873,-0.008026602,-0.007665215,0.006937671,0.003862844,-0.004492594,-0.001808364,-0.004960913,-0.005550152,0.004342462,-0.001548085,-0.001164943,0.00677753,-0.009325447,-0.002755779,0.006497308,0.003966176,0.000431208,-0.00109686,0.001084239,0.00084434,0.001637189,-0.000276399,0.000204372,-0.000977118,0.00235189,-0.001456405,-0.001429329,0.001735368,-0.002953054,0.000930392,7.45E-05,0.00114843,-0.000924169,-0.000409647,0.000721546,0.00099717,-0.001043106,-0.001538503,0.001577079,0.000597155,-0.000688209,0.001026642,-0.000215181,0.000818432,-0.000666038,0.000854762,0.000308146,0.000517983,-0.001100768,-4.83E-05,0.000437052,-0.000140185,-0.000438089,0.000793578,0.000382166,0.000290183,-0.000397772,0.000128215,-0.000359962,-0.000226623,-0.000273902,-0.000173869,6.14E-05,0.000170196,5.66E-06,-0.000111898,-0.000342799,0.000195545,4.23E-05,-0.000133326,-4.11E-05,-0.000138757,-9.42E-05,5.58E-06,-9.30E-17
CA230340,CA230340,C12934,Capulí,no,Museo del Oro,Colombia,donacion Área Cultural Cúcuta,,holding hands,0.255374251,-0.091084828,0.019096772,0.028352656,-0.017442234,0.013588691,0.001864766,-0.004628911,-0.007970704,-0.013722188,0.009380556,-0.011461305,-0.000124845,0.000775987,0.00164981,-0.008961109,0.006289526,0.004400983,-4.73E-05,-0.001601852,-0.000261435,-0.007021214,-0.004486191,0.002036207,-0.003231134,-0.003150161,-0.00621281,-0.00260631,-0.003390249,-0.00183799,0.001878097,-0.002315419,0.002442218,-0.002597084,0.00177711,0.002146216,0.002777929,0.002981554,0.000115695,0.000752765,-0.000516332,-0.002447784,-0.002084922,0.002046061,-0.001292396,0.00047033,0.001522566,-0.000547156,-0.000912512,-0.000482417,-0.002604708,3.57E-05,0.00097543,-0.000296366,0.000742428,-0.000237829,-0.000552037,0.000762678,-0.00057784,-0.000165272,-0.000923573,-0.000218366,0.000137043,-4.41E-05,0.000235398,8.50E-05,-1.23E-05,0.000327835,-0.000127566,-0.000206799,-0.000254139,-0.000203879,3.59E-05,-4.99E-05,2.55E-05,-0.000123097,-4.71E-05,4.30E-05,-3.94E-05,6.84E-05,-5.20E-05,3.95E-05,-1.53E-05,9.03E-06,7.26E-17
CA230341,CA230341,C06213,Tuza,no,Museo del Oro,Pupiales,compra a R.P. Adolfo  Filippi,,geometric exterior,-0.24237001,0.03906558,0.059600509,0.000321942,0.00928395,0.003924907,0.001176208,-0.021766002,0.006578998,-0.009419402,0.006590569,0.006421134,0.003188273,-0.009861962,0.001233119,0.000713504,0.001457658,-0.000128621,-0.000859839,0.000463026,0.002848694,-0.000183074,0.003782376,-9.54E-05,-0.004811297,0.000156204,0.001377666,0.00077915,0.000872708,-0.002187519,0.00139473,-0.002131718,-0.001518484,0.000566477,-8.28E-06,-0.002526083,-0.002109587,0.001005011,-0.000604887,0.000779082,-0.000979081,-0.002945167,0.000362379,0.001017519,-0.001209745,0.000710643,-0.000823571,-0.001467341,-0.000902685,-0.000883279,-2.85E-05,-0.000150773,-0.000686925,5.24E-05,-0.000220025,0.000492996,0.000726206,-0.000773042,0.000848725,-0.000114321,-2.73E-05,0.000255681,0.000676477,0.000195458,0.000575944,-0.000175271,-0.000650571,0.00031728,8.64E-05,0.000363291,-2.12E-05,0.000287546,-6.64E-06,0.000167988,0.000429529,-7.68E-06,-2.46E-05,0.000401459,-0.00015033,3.78E-05,0.000338156,1.85E-05,-0.000124735,1.18E-05,-1.30E-16
CA230343,CA230343,C05533,Tuza,no,Museo del Oro,Nariño,Compra a Ángel Peña,,hatched interior,-0.213950731,0.021556117,0.031732242,-0.011661899,0.011422849,-0.003103397,-0.015150756,-0.000981489,-0.002924352,-0.011391774,-0.001401826,-0.007911608,-0.00308793,-0.001033228,-0.000818163,-0.005630217,-0.001688661,-0.005418626,-0.001306996,-0.001145033,-0.001953851,-0.002437653,0.001940851,0.003740615,-0.004667955,0.000962803,0.004568005,0.001547782,-0.001092589,-0.001113036,7.96E-05,0.000961884,0.00053194,0.001571794,-0.000332648,0.001972096,-6.01E-05,0.001188904,-0.000834545,0.002014742,0.000892051,0.000683139,-0.000554945,3.83E-05,-0.001088674,0.00172467,-0.000716057,-0.000275342,0.000907764,-0.000697377,7.61E-05,-0.001975996,0.000555134,0.000259026,-8.89E-06,8.67E-05,-0.001062013,-0.00104752,-0.000843647,3.33E-05,0.00047214,-0.000222548,5.52E-05,0.000464694,-1.80E-05,-0.000272161,0.000477408,-0.000129339,0.000143086,-0.000140003,-0.000400657,-0.00024768,-0.000207761,0.000117637,0.000187045,0.000398716,0.000179466,-2.24E-05,-0.000117756,-0.000344163,-8.31E-06,9.12E-05,0.000139433,0.000225981,-3.23E-17
CA230344,CA230344,C05531,Tuza,no,Museo del Oro,Nariño,Compra a Ángel Peña,,burnished on top of red paint,-0.199702065,0.021788923,0.025503736,-0.003419704,0.007611015,-0.021433091,-0.00371288,-0.002958337,-0.006157304,-0.013972077,-0.002844064,0.002769611,-0.001003724,0.005939773,9.66E-05,-0.005872703,-0.002365311,-0.002449328,0.000942752,-0.004145175,-0.000473785,-0.000835697,0.005180697,0.000942355,-0.000228554,-0.000468397,-0.002069736,0.002506527,0.00105314,0.000586551,-0.001850082,0.00212435,0.001048313,-0.000395,-0.001618517,0.001436144,-0.003269693,0.000998172,0.00127013,-0.000324184,-0.001400369,-0.001251371,-4.04E-05,0.000617864,0.00125292,-5.85E-05,0.001136872,0.000105415,0.000253361,0.001131027,0.000967723,0.000559749,-0.00041277,-0.000249126,0.000126583,0.000274053,-0.000374435,0.000159921,0.000509072,-0.00085875,-8.91E-05,-0.000363971,-9.57E-05,0.000103371,-0.000466528,-0.0006149,-0.000578403,0.000364454,0.000133092,-0.000928587,1.52E-05,-0.000103674,-0.000160581,0.0002824,0.000156496,0.000169619,-0.000134511,0.000225901,7.13E-05,0.000329601,-0.000105723,-9.53E-05,0.000261505,-3.23E-06,-2.02E-17
CA230345,CA230345,C14001,Tuza,no,Museo del Oro,Colombia,Herederos del legado Ramos-Esteban /Rodrigo Lozano (apoderado),,lightening bolt - burnished on top of red paint,-0.219277669,0.043996368,0.027996939,0.003299173,0.002860069,-0.012458196,0.007495246,-0.008401747,-0.001839245,-0.008305038,-0.001917472,0.004874586,0.003694498,0.001278387,-0.002597564,-0.002208009,0.00281827,-0.000725462,0.000664945,-0.001644234,0.00324593,-0.00445689,0.00083322,-0.004660315,0.005193369,0.001524231,-0.001401531,0.000807326,0.004243385,0.000712428,0.002424955,-0.000617599,0.001673562,0.001911412,-0.002425653,0.000692861,-0.000150024,0.001626224,0.001087631,-0.00063663,-0.001741387,0.00038234,0.000191736,-0.000112276,-0.00067118,-0.000436937,0.001282362,-0.001550497,0.000524855,-0.000333929,0.000962687,-0.000694901,0.001537878,-0.000976263,0.000531983,-0.000298148,-0.0007038,-0.000776954,0.000457248,9.66E-05,0.000432803,0.000369537,-0.000148351,-0.000120955,-0.000145071,-0.00049657,0.000218431,-0.000315478,-0.000307085,-0.000163424,1.16E-05,-3.79E-06,0.000540605,-0.000269042,0.000483489,5.15E-05,-0.000180433,-0.00019484,-0.000121422,-1.68E-05,-0.000224202,-4.50E-05,-0.000271969,-6.79E-05,-1.18E-16
CA230347,CA230347,C13752,Piartal,no,Museo del Oro,Nariño,tenencia a María Victoria Uribe,,geometric - very worn with pitting,-0.219437718,0.03840343,-0.017232628,-0.003068012,-0.013294835,0.033930469,-0.022815388,0.015146526,0.002361766,0.004681062,-0.004870283,-0.014726324,-0.01035023,0.007103043,0.000403313,0.002363785,-0.001971643,0.003418331,-0.003205502,0.001910475,0.004189382,-0.00183555,0.001489362,-0.000622657,0.003813566,-0.000224962,0.000543334,-0.001756831,-0.000924488,0.002414573,0.000818881,-0.001348679,0.00031265,-0.002471539,0.00133992,-0.001803541,0.000385827,-0.000673991,9.68E-05,-0.001756289,0.000420825,6.75E-05,-0.001641625,0.001046461,0.000361908,-0.000855288,-0.000813167,0.000177284,-0.000346381,1.88E-05,-0.000267635,0.001182567,0.001274952,0.000873433,-0.000132124,5.53E-05,-0.000969392,0.000219677,0.000712846,-0.000519604,0.000687344,9.94E-05,0.000481041,1.79E-05,-0.000423518,-0.000351419,3.66E-05,-6.40E-05,-0.00053698,5.82E-05,0.00018469,0.000395026,-0.000309595,-0.000197651,-0.000183378,0.000176654,0.000193671,0.000336547,-9.62E-06,-8.37E-06,-6.30E-05,-0.000278656,-0.000120261,0.000204457,-1.08E-16
CA230348,CA230348,C04870,Capulí,no,Museo del Oro,Colombia,compra a Camilo Orbes,,circle motif,0.251708889,-0.026246819,0.001561334,0.054338216,-0.027599258,-0.004505065,-0.011945647,-0.033242311,-0.012255649,-0.001457992,0.017401686,0.002009215,-0.008343322,-0.00584875,-0.007648536,-0.008336767,0.006845845,0.003702536,0.007845395,-0.00130291,0.001120975,0.001715166,0.003426185,0.006548816,0.00598791,0.000849218,-0.001995298,-0.000105111,0.001358534,0.004137489,0.005480879,-0.007378736,0.001698173,0.005839788,-0.002522691,-0.000328557,0.000195029,-0.002938689,0.001309225,0.000330955,-0.001643995,0.001242241,-0.001200006,-0.000735928,0.001123369,0.000757176,-0.000168573,0.001280715,0.000396481,-0.000178625,-0.000478727,-0.000160602,0.000303222,0.000630748,-0.00102912,0.000731028,-6.56E-05,0.000404499,0.00050233,0.000277523,5.84E-05,-0.000262129,0.000221426,-0.000402665,-0.00011424,2.70E-05,-0.000358717,-0.000135288,7.17E-05,9.63E-05,-4.84E-05,-3.35E-05,-8.59E-05,0.000194321,-0.000119582,8.58E-05,-1.65E-05,5.26E-06,4.57E-05,-9.05E-05,8.58E-06,6.37E-05,2.96E-05,-3.77E-06,2.13E-18
CA230349,CA230349,C05539,Capulí,no,Museo del Oro,Nariño,Compra a Ángel Peña,,circle motif,-0.183783302,-0.020796066,0.022946039,0.005363714,0.013033835,0.031969639,0.018306893,0.018937665,-0.001003607,0.017118169,-0.003689078,0.003915134,-0.001338286,0.006003285,-0.002851567,0.003724707,0.002468529,0.001626779,0.001511865,-0.002923559,-0.001282473,-0.001986961,0.000502792,0.006991874,-0.00051824,-0.00402756,0.002431568,-0.001498617,-0.001911931,-0.001479583,-0.001593945,-0.001393116,-0.001986305,0.003510661,-0.001440946,0.001313763,-0.000629466,0.000937759,-0.000443969,-0.001447501,-0.000295406,3.81E-05,0.000344065,-0.002446122,0.000460721,0.001027234,0.000585045,0.000114947,0.001385036,0.00032853,6.39E-06,-0.000319358,0.000394455,0.000844526,0.001105619,-0.001110896,-0.000525622,0.000502561,-0.000964637,0.00054772,-0.00051842,0.000284842,0.000186027,0.000500286,0.000557091,-0.000200248,-0.00043908,0.000127095,-0.000463447,-0.000204811,0.000526277,0.000293453,0.000137572,1.63E-05,0.000185213,1.08E-05,0.000240575,0.000280315,0.000373687,-7.64E-05,-1.47E-05,9.21E-05,-2.04E-05,-7.87E-05,-7.04E-17
CA230350,CA230350,C09908,Capulí,no,Museo del Oro,Nariño,Compra a Guillermo Cano Mejía,,circle motif w/ geometric,0.173073689,-0.095893241,0.078064735,0.002825013,-0.077346295,-0.010092987,0.014657207,0.013994685,0.008052363,-0.006780092,0.011139741,-0.006869671,0.000673685,-0.006859673,0.002882631,0.004636949,0.007414329,-0.003767594,-0.006854993,-0.003814947,-0.001251276,-0.010543743,0.000862443,0.007066584,0.00211006,0.005414759,-0.002259111,-0.002621176,-0.002587543,-0.00017361,0.001736694,-0.000761335,0.000560481,0.001435319,0.00509097,-0.000798684,-0.002780805,-0.002823404,-0.001188425,0.00232265,0.002374939,-0.001230293,0.001456287,-9.70E-05,0.000287205,-0.000604778,-0.000578765,-0.000857459,8.81E-08,0.001719809,0.001229356,-0.000111096,-0.000241064,-0.000382825,2.58E-05,-0.00118853,0.000280283,-0.000107133,0.000246538,0.000166455,0.000281633,7.64E-05,-4.81E-06,0.000265746,-0.000434444,-0.000364052,0.000265653,3.32E-05,-4.05E-05,-1.41E-05,0.000172815,-0.000116294,5.41E-05,-4.66E-05,3.84E-06,-2.95E-05,-3.63E-05,-2.41E-05,4.72E-05,-7.15E-06,3.01E-05,-6.45E-06,-8.82E-07,-1.65E-05,1.10E-16
CA230352,CA230352,C03989,Piartal,no,Museo del Oro,Pupiales,compra a Camilo Orbes,,very shiny with 4 pointed triangular decoration,-0.051350622,-0.069612891,-0.086427542,-0.020575276,0.037291478,-0.018953768,-0.034009253,0.00758823,0.012822496,-0.015304866,0.008592492,0.004961684,0.00022739,-0.0113733,-0.003925073,-0.005348159,-0.001113293,0.006380737,0.005599805,-0.008420763,-0.001982166,-0.003431897,-0.002394911,-0.007984467,-0.003950049,0.000457784,0.001525233,-0.003407515,0.000684761,-0.000698539,-0.000835163,-0.005045599,-0.002966533,-0.000341942,0.002837837,-0.002942506,0.000346735,0.000340376,0.001995158,-7.07E-05,0.001194698,-0.001046999,0.001332778,-0.00244378,-0.000261938,-0.000978981,-0.000451921,0.002165204,0.001372923,0.000131715,-0.000561028,0.000289709,-0.000350393,6.76E-07,-0.000349248,-0.000486938,-0.000932607,0.000455975,0.000313033,-0.0009914,4.62E-05,0.000140533,-0.000201058,-1.90E-06,0.000211294,-0.00032981,0.000133692,0.000245865,0.000358909,-0.000134625,-6.91E-05,5.54E-05,4.14E-05,-0.000271532,0.000268739,-9.81E-05,-8.77E-05,-0.00013459,8.98E-05,-0.000108576,4.50E-05,-6.85E-05,2.17E-05,7.22E-06,-8.15E-17
