sample_id,no_of_analyses,area_of_analysis,laboratory,sample_date,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,Fe2O3,S,Ni,Zn,Rb,Sr,Y,Zr,Nb,Pb
CA230372,5,fabric,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,1.98,15.04,51.65,,1.21,2.13,0.67,0.04,5.47,,,56,53,657,12,145,14,16
CA230373,3,red,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,1.89,15.75,54.85,,1.36,1.62,1.08,0.04,5.9,,,55,,467,12,248,21,20
CA230373,3,black ,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,2.01,17.01,51.95,,1.21,1.57,1.12,0.06,6.24,,16,47,,457,15,268,17,18
CA230373,5,fabric,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,1.88,16.65,57.76,,1.38,2.79,0.67,0.5,4.85,,39,55,49,938,22,149,8,17
CA230374,5,fabric,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,1.89,16.74,59.86,,1.65,1.83,0.85,0.04,5.11,,,47,64,503,12,258,18,22
CA230375,3,red,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,1.92,17.07,53.93,,1.49,1.97,1,0.09,5.18,,23,44,,734,11,257,19,22
CA230375,3,black ,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,1.69,19.18,48.59,,1.22,1.78,1.01,0.04,5.38,,19,40,,662,10,223,18,17
CA230375,5,fabric,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,2.03,15.02,59.68,,1.64,2.45,0.6,0.06,4.86,,21,54,57,761,15,221,17,16
CA230376,5,fabric,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,1.85,16.93,56.73,,1.69,2.47,0.7,0.06,4.75,,20,50,51,767,12,246,21,25
CA230377,3,black ,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,,21.75,45.74,,0.83,1.36,1.02,0.07,6.42,,,49,,432,8,190,13,20
CA230377,3,red,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,1.79,17.89,54.51,,1.03,1.45,1.04,0.08,6.14,,22,69,,460,11,201,10,17
CA230377,5,fabric,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,1.69,17.49,47.15,,0.88,1.61,0.67,0.06,6.62,,20,51,42,517,11,202,11,15
CA230378,3,black ,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,1.77,20.1,48.98,,1.36,1.75,1,0.28,6.57,,60,81,,546,9,210,16,26
CA230378,5,fabric,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,2.03,17.46,56.6,,2.57,2.13,0.89,0.2,6.19,,26,118,55,580,10,214,18,19
CA230378,3,red,"Union del Sur Offices, El Porvenir, Iles",15/06/2023,,1.9,21.41,52.5,,1.54,1.68,0.92,0.28,6.22,,56,62,,560,8,189,14,18
CA230379,3,black ,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.92,14.78,39.95,,1.1,1.61,0.85,1.52,6.43,,179,131,,562,12,166,9,
CA230379,3,red,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,2.08,18.19,49.76,,1.08,1.9,1.07,0.17,7.34,,23,71,,656,14,156,9,
CA230379,5,fabric,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.96,13.02,53.8,,1.44,2.18,0.93,0.08,7.51,,24,64,55,705,13,175,12,15
CA230380,5,fabric,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.91,17.8,56.39,,1.95,2.06,0.76,0.24,6.61,,26,96,56,671,11,247,15,24
CA230380,3,red,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,,21.09,46.57,,0.94,1.23,0.97,0.06,5.91,,19,50,,540,9,199,15,17
CA230380,3,black ,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.67,18.22,39.98,,0.86,1.29,0.89,0.21,6.09,,36,58,,545,7,186,15,16
CA230381,5,fabric,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,2.07,13.18,57.93,,2.01,2.49,0.79,0.07,6.83,,21,86,67,834,17,206,14,20
CA230381,3,red,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.86,19.47,49.95,,0.98,1.93,0.91,0.13,6.79,,21,71,,640,10,200,9,17
CA230381,3,black ,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.69,17.11,41.39,,0.93,1.89,0.81,1.17,5.72,,111,96,,683,13,174,14,16
CA230382,3,black ,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.87,18.73,54.91,,1.27,1.99,0.78,0.08,5.38,,,37,,552,10,230,14,23
CA230382,5,fabric,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.94,16.58,53.92,,1.39,3.01,0.72,0.05,5.93,,28,63,60,1008,17,182,14,19
CA230382,3,red,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.76,21.02,52.59,,1.11,1.8,0.78,0.07,5.76,,23,43,,530,7,242,13,18
CA230383,5,fabric,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.84,14.13,57.68,,1.31,2.03,0.7,0.1,6.35,,24,59,57,615,12,243,19,20
CA230384,5,fabric,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,2.04,14.03,55.41,,1.23,2.04,0.76,0.08,7.09,,26,72,48,584,10,215,18,19
CA230384,3,red,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.69,19.66,48.51,,1.09,1.69,0.97,0.08,6.03,,23,36,,523,7,198,10,17
CA230384,3,black ,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.77,19.41,49.42,,1.36,1.97,0.84,0.61,5.55,,70,61,,594,9,200,17,16
CA230386,5,fabric,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.74,17.86,49.32,,1.12,1.99,0.62,0.22,5.78,,40,64,52,649,9,232,14,20
CA230386,3,red,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.77,19.22,53.24,,1.13,1.67,0.87,0.23,5.95,,37,54,,609,12,209,17,19
CA230386,3,black ,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.68,18.71,51.66,,1.13,1.79,0.99,0.13,5.67,,28,52,,624,8,219,18,18
CA230387,1,black ,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.8,16.48,46.07,,0.93,1.72,1.1,0.04,6.22,,,39,,620,9,170,13,
CA230387,3,red,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.86,16.46,48.45,,0.9,1.57,1.15,0.05,6.85,,,54,,612,10,207,11,
CA230387,5,fabric,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.97,13.97,60.27,,1.48,2.37,0.79,0.07,4.89,,28,72,60,701,12,213,15,22
CA230388,3,black ,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.75,16.23,45.6,,0.96,1.73,0.9,0.14,6.61,,24,41,,520,8,203,17,19
CA230388,3,red,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.83,14.87,48.02,,0.99,1.64,1.06,0.08,7.67,,20,47,,515,12,191,15,16
CA230388,5,fabric,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,2.02,13.3,56.79,,1.25,2.28,0.86,0.07,6.39,,42,64,51,553,27,218,9,15
CA230389,3,black ,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.72,18.28,52.04,,1.28,1.76,0.78,0.06,4.75,,16,43,,454,11,187,15,
CA230389,5,fabric,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.88,20.06,57.12,,1.78,2.07,0.66,0.15,5.18,,33,73,54,517,14,224,19,23
CA230389,3,red,"Union del Sur Offices, El Porvenir, Iles",16/06/2023,,1.81,15.58,59.08,,1.44,1.92,0.96,0.07,4.81,,18,45,,580,14,191,15,18
CA230436,5,fabric,University of Cambridge,18/07/2023,,,18.85,54.93,,1.25,1.43,0.69,0.04,3.13,,,33,41,520,8,154,15,19
CA230436,3,red,University of Cambridge,18/07/2023,,,16.43,41.27,,1.27,1.1,1.12,0.05,5.13,,,39,,537,7,167,14,19
CA230437,5,fabric,University of Cambridge,18/07/2023,,,15.53,49.77,,1.1,1.69,0.75,0.05,4.38,,,59,46,561,18,164,15,22
CA230438,3,red,University of Cambridge,18/07/2023,,,17.19,50.52,,1.03,1.37,0.75,0.04,6.07,,,57,,371,11,236,11,
CA230438,3,black ,University of Cambridge,18/07/2023,,,19.67,41.35,,0.91,1.39,0.72,0.04,5.77,,,60,,356,12,175,13,17
CA230438,5,fabric,University of Cambridge,18/07/2023,,,20.4,39.85,,0.71,0.94,0.66,0.04,6.59,,,63,51,344,9,185,11,17
CA230439,3,black ,University of Cambridge,18/07/2023,,,13.2,61.86,,1.42,1.95,0.81,0.04,4.01,,,46,,503,11,157,16,18
CA230439,5,fabric,University of Cambridge,18/07/2023,,,19.48,54.71,,1.19,1.51,0.8,0.08,4.15,,,64,44,532,9,158,13,17
CA230439,3,cream,University of Cambridge,18/07/2023,,,14.68,63.82,,1.58,1.65,0.81,0.04,4.08,,,47,,489,11,138,12,17
CA230439,3,red,University of Cambridge,18/07/2023,,,12.91,56.74,,1.39,1.69,0.87,0.04,4.15,,,69,,544,11,174,11,17
CA230440,3,black ,University of Cambridge,18/07/2023,,,14.09,53.41,,1.5,1.57,0.79,0.04,3.65,,20,194,,475,12,131,9,51
CA230440,5,fabric,University of Cambridge,18/07/2023,,,12.6,60.72,,1.01,1.91,0.93,0.04,2.79,,,37,33,579,10,141,,23
CA230440,3,red,University of Cambridge,18/07/2023,,,17.2,48.57,,1.19,1.15,0.88,0.03,4.83,,,69,,534,10,135,11,23
CA230440,3,cream,University of Cambridge,18/07/2023,,,11.84,56.25,,1.09,1.81,0.82,0.04,3.35,,,40,,498,14,165,13,18
CA230441,3,black ,University of Cambridge,18/07/2023,,,21.19,50.32,,0.91,1.62,0.92,0.06,5.26,,,49,,499,9,159,14,
CA230441,3,red,University of Cambridge,18/07/2023,,1.74,16.35,50.48,,0.93,1.62,1.23,0.1,6.21,,,57,,546,8,190,11,
CA230441,5,fabric,University of Cambridge,18/07/2023,,,19,49.57,,0.93,1.68,0.67,0.08,4.99,,21,60,52,565,9,176,10,
CA230442,5,fabric,University of Cambridge,18/07/2023,,,15.11,53.97,,1.05,1.83,0.73,0.05,4.95,,,62,55,584,8,168,11,19
CA230442,3,black ,University of Cambridge,18/07/2023,,,19.19,53.38,,0.94,1.97,1,0.06,5.81,,15,52,,583,8,207,9,17
CA230442,3,red,University of Cambridge,18/07/2023,,1.91,15.36,55.54,,1,1.98,1.07,0.06,6.48,,20,59,,594,10,197,12,16
CA230443,3,black ,University of Cambridge,18/07/2023,,,21.71,41.16,,0.7,1.37,1.09,0.07,6.96,,,55,,458,10,167,12,
CA230443,5,fabric,University of Cambridge,18/07/2023,,1.85,15.85,58.73,,1.06,1.93,0.67,0.05,4.86,,17,50,62,523,8,153,8,
CA230443,3,red,University of Cambridge,18/07/2023,,,19.57,44.51,,0.89,1.48,1.05,0.07,7.49,,30,139,,455,12,161,9,22
CA230444,3,black ,University of Cambridge,18/07/2023,,,22.04,45.46,,0.72,0.8,1.15,0.14,6.36,,16,38,,360,9,173,13,19
CA230444,5,fabric,University of Cambridge,18/07/2023,,,17.72,49.48,,0.77,1.16,0.78,0.08,5.83,,,45,41,337,9,185,11,18
CA230444,3,red,University of Cambridge,18/07/2023,,,20.99,48.42,,0.7,0.75,1.17,0.05,6.36,,,39,,346,8,213,12,17
CA230445,3,red,University of Cambridge,18/07/2023,,,16.95,56.73,,1.33,1.56,0.98,0.06,5.51,,,36,,501,10,200,12,18
CA230445,5,fabric,University of Cambridge,18/07/2023,,,18.57,58.9,,1.13,1.64,0.67,0.07,4.42,,,36,41,492,6,220,15,16
CA230445,3,black ,University of Cambridge,18/07/2023,,,20.44,54.82,,1.36,1.56,0.79,0.05,5.4,,,49,,501,10,210,14,16
CA230446,3,black ,University of Cambridge,18/07/2023,,,20.53,53.86,,1.07,0.84,0.73,0.04,5.21,,,52,,288,6,156,10,
CA230446,5,fabric,University of Cambridge,18/07/2023,,,16.97,53.76,,0.9,1.04,0.77,0.04,5.57,,,65,74,296,7,163,10,26
CA230446,3,red,University of Cambridge,18/07/2023,,,20.59,54.38,,1.05,0.75,0.99,0.05,5.61,,19,55,,259,7,161,12,16
CA230447,3,black ,University of Cambridge,18/07/2023,,,22.47,44.09,,0.74,0.53,1.16,0.05,6.52,,,42,,390,11,220,17,
CA230447,3,red,University of Cambridge,18/07/2023,,,21.27,51.93,,0.93,0.7,1.28,0.05,6.67,,,44,,386,10,232,14,22
CA230447,5,fabric,University of Cambridge,18/07/2023,,,16.45,52.37,,0.95,1.25,0.72,0.05,4.96,,,37,46,403,9,291,14,17
CA230448,5,fabric,University of Cambridge,28/07/2023,,1.67,19.13,52.89,,0.91,1.77,0.72,0.1,5.32,,18,53,46,477,8,187,14,
CA230448,3,black ,University of Cambridge,28/07/2023,,1.74,21.63,47.34,,0.89,1.73,0.87,0.42,5.81,,45,71,,476,9,193,12,17
CA230448,3,red,University of Cambridge,28/07/2023,,,21.96,52.33,,0.94,1.45,0.86,0.15,6.16,,24,63,,449,8,185,14,15
CA230449,3,black ,University of Cambridge,28/07/2023,,,17.26,38.9,,0.88,1.65,0.75,1.82,5.18,,140,118,,474,12,196,15,
CA230449,5,fabric,University of Cambridge,28/07/2023,,,20.48,53.47,,1.05,1.71,0.75,0.14,5.11,,21,65,48,500,9,202,16,21
CA230449,3,red,University of Cambridge,28/07/2023,,,21.75,50.3,,1,1.45,1.13,0.22,5.99,,22,64,,484,7,234,17,17
CA230450,5,fabric,University of Cambridge,28/07/2023,,,18.79,43.43,,0.7,2.61,,0.29,6.78,,35,58,43,633,13,191,14,
CA230450,3,black ,University of Cambridge,28/07/2023,,1.82,15.55,52.66,,1.32,2.34,0.98,0.17,7.12,,51,108,,629,9,215,15,16
CA230450,3,red,University of Cambridge,28/07/2023,,1.88,14.85,59.38,,1.42,2.35,0.91,0.12,6.08,,23,62,,767,11,224,15,15
CA230451,5,fabric,University of Cambridge,28/07/2023,,,18.64,60.35,,0.98,1.8,0.81,0.14,5.88,,25,72,53,514,9,212,15,21
CA230451,3,black ,University of Cambridge,28/07/2023,,,21.65,49.25,,1.49,1.61,1.01,0.08,6.52,,26,103,,512,8,193,17,15
CA230451,3,red,University of Cambridge,28/07/2023,,,21.14,55.02,,1.5,1.78,0.82,0.09,5.87,,,106,,522,11,205,9,15
CA230452,5,fabric,University of Cambridge,28/07/2023,,,18.6,53.14,,1.17,1.88,0.63,0.05,4.48,,17,61,48,562,14,194,12,
CA230452,3,red,University of Cambridge,28/07/2023,,1.88,15.63,52.86,,1.23,1.86,1.03,0.05,5.93,,,61,,561,13,184,12,
CA230452,3,black ,University of Cambridge,28/07/2023,,1.84,17.63,54.83,,1.28,1.75,1.04,0.06,5.71,,,61,,548,11,181,12,
CA230453,3,black ,University of Cambridge,28/07/2023,,,22.53,43.66,,0.63,0.56,1.28,0.05,6.36,,15,35,,334,8,186,13,
CA230453,5,fabric,University of Cambridge,28/07/2023,,,18.44,51.66,,0.77,1.15,0.75,0.08,5.55,,,39,38,328,9,195,12,
CA230453,3,red,University of Cambridge,28/07/2023,,,20.24,45.64,,0.68,0.93,1.15,0.06,6.6,,,33,,390,8,187,11,15
CA230454,3,red,University of Cambridge,28/07/2023,,,15.88,50.43,,1.13,1.24,1.22,0.06,6.39,,18,50,,423,9,224,10,
CA230454,5,fabric,University of Cambridge,28/07/2023,,,21.53,51.95,,0.89,1.27,0.75,0.11,5.54,,23,59,33,417,10,202,11,16
CA230455,3,red,University of Cambridge,28/07/2023,,1.99,13.47,55.27,,1.03,1.9,1.31,0.09,9.32,,,72,,559,12,229,17,
CA230455,5,fabric,University of Cambridge,28/07/2023,,1.67,16.11,54.85,,0.99,1.75,0.78,0.06,5.01,,,49,54,522,9,208,18,16
CA230456,3,black ,University of Cambridge,28/07/2023,,,20.42,46.12,,0.76,1.28,0.87,0.04,6.3,,,49,,440,7,160,12,
CA230456,3,red,University of Cambridge,28/07/2023,,,19.56,47.28,,0.77,1.15,1.01,0.05,6.77,,,47,,390,8,186,11,
CA230456,5,fabric,University of Cambridge,28/07/2023,,,16.43,54.33,,0.89,1.51,0.72,0.04,5.01,,,47,55,401,7,199,,16
CA230457,3,red,University of Cambridge,28/07/2023,,,20.94,57.95,,1.43,1.63,1.14,0.13,5.78,,15,63,,484,11,190,10,
CA230457,3,black ,University of Cambridge,28/07/2023,,,20.31,54.42,,1.34,2.12,1,0.2,6.39,,25,74,,471,9,213,11,19
CA230457,5,fabric,University of Cambridge,28/07/2023,,1.68,16.4,53.38,,1.05,1.88,0.77,0.11,5.85,,,84,61,531,8,212,11,17
CA230458,3,red,University of Cambridge,28/07/2023,,,17.29,51.31,,1.67,1.43,1.25,0.09,6.51,,22,57,,614,12,209,14,
CA230458,5,fabric,University of Cambridge,28/07/2023,,,16.66,53.54,,1.02,1.74,0.76,0.06,5.3,,,49,56,542,8,194,14,19
CA230458,3,black ,University of Cambridge,28/07/2023,,,15.97,50.91,,1.49,1.95,1.06,0.11,5.79,,34,69,,660,11,179,14,15
CA230459,3,black ,University of Cambridge,28/07/2023,,,21.47,45.81,,0.9,1.54,1.01,0.06,6.17,,,52,,459,9,188,16,
CA230459,5,fabric,University of Cambridge,28/07/2023,,,17.47,55.69,,0.94,1.75,0.84,0.05,5.2,,,55,53,451,8,227,15,
CA230459,3,red,University of Cambridge,28/07/2023,,,22.6,42.76,,0.83,1.18,0.92,0.05,6.38,,,49,,412,11,200,12,
CA230460,3,black ,University of Cambridge,28/07/2023,,1.79,20.17,52.63,,1.04,2.03,1.2,0.08,5.75,,30,67,,494,13,218,14,
CA230460,5,fabric,University of Cambridge,28/07/2023,,1.71,20.11,52.27,,1.04,1.96,0.72,0.34,5.81,,21,73,59,502,11,206,11,19
CA230460,3,red,University of Cambridge,28/07/2023,,1.86,18.4,56.05,,1.08,2.07,1.11,0.08,5.93,,15,65,,499,10,208,12,16
CA230461,5,fabric,University of Cambridge,28/07/2023,,,19.02,51.05,,1.03,1.86,0.72,0.1,5.97,,16,54,59,482,11,201,11,19
CA230461,3,black ,University of Cambridge,28/07/2023,,,22.62,54.01,,1.16,1.93,0.96,0.1,5.64,,15,56,,462,8,196,13,16
CA230461,3,red,University of Cambridge,28/07/2023,,1.74,21.09,53.87,,1.19,1.59,1.14,0.07,5.89,,15,52,,485,12,215,11,16
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
