date,notes,Standard,Anaslysis number,Na2O,MgO,Al2O3,SiO2,CaO,TiO2,MnO2,FeO,TOTAL
,,,,%,%,%,%,%,%,%,%,%
25/03/2024,measured immediately after Co,BIR-1G,analysis 1,1.72,9.99,16.16,49.34,13.74,1.01,-,11.01,102.97
25/03/2024,measured immediately after Co,BIR-1G,analysis 2,1.19,6.92,11.32,34.6,10.06,0.77,0.12,7.92,72.9
25/03/2024,measured immediately after Co,BIR-1G,analysis 3,1.93,10.58,17.36,53.72,14.87,1.09,0.25,11.58,111.38
25/03/2024,measured immediately after Co,BIR-1G,analysis 4,1.6,8.57,14.02,43.28,12.41,0.83,0.17,9.7,90.58
25/03/2024,measured immediately after Co,BIR-1G,analysis 5,1.32,7.38,12.04,37.03,10.69,0.8,0.22,8.4,77.88
27/03/2024,measured long after Co,BIR-1G,analysis 1,1.14,6.23,10.26,31.38,9.16,0.68,0.14,7.24,66.23
27/03/2024,measured long after Co,BIR-1G,analysis 2,1.62,8.79,14.48,44.24,12.48,0.96,0.19,9.88,92.64
27/03/2024,measured long after Co,BIR-1G,analysis 3,1.2,6.35,10.4,32.07,9.42,0.69,0.2,7.34,67.67
27/03/2024,measured long after Co,BIR-1G,analysis 4,1.46,8.23,13.56,41.72,12.01,0.97,0.16,9.29,87.4
27/03/2024,measured long after Co,BIR-1G,analysis 5,1.93,10.85,17.46,53.68,14.99,1.13,0.15,11.89,112.08
16/04/2024,morning,BIR-1G,analysis 1,2.06,11.18,18.17,55.37,15.5,1.11,0.23,12.23,115.85
16/04/2024,morning,BIR-1G,analysis 2,1.75,9.77,15.86,48.34,13.47,1.02,0.3,10.76,101.27
16/04/2024,morning,BIR-1G,analysis 3,1.66,8.86,14.55,44.97,12.96,0.96,-,10.03,93.99
16/04/2024,morning,BIR-1G,analysis 4,1.41,7.69,12.77,38.73,11.18,0.84,0.2,8.87,81.69
16/04/2024,morning,BIR-1G,analysis 5,1.31,7.08,11.61,35.55,10.17,0.77,0.17,8.02,74.68
16/04/2024,1:30pm,BIR-1G,analysis 1,2.02,11.08,18.09,55.44,15.39,1.2,0.23,12.25,115.7
16/04/2024,1:30pm,BIR-1G,analysis 2,1.7,9.2,15.1,45.98,12.97,0.99,0.17,10.33,96.44
16/04/2024,1:30pm,BIR-1G,analysis 3,1.67,9.18,15.01,45.88,13.17,0.98,0.19,10.27,96.35
16/04/2024,1:30pm,BIR-1G,analysis 4,1.43,7.49,12.37,37.92,10.91,0.85,0.14,8.58,79.69
16/04/2024,1:30pm,BIR-1G,analysis 5,1.23,6.47,10.74,32.92,9.48,0.74,-,7.45,69.03
16/04/2024,2:40 (after cobalt),BIR-1G,analysis 1,2.2,11.06,18.09,55.68,15.48,1.12,0.2,12,115.83
16/04/2024,2:40 (after cobalt),BIR-1G,analysis 2,1.78,9.51,15.61,47.3,13.34,0.95,0.25,10.5,99.24
16/04/2024,2:40 (after cobalt),BIR-1G,analysis 3,1.51,8.45,13.58,41.92,11.97,0.91,0.17,9.57,88.08
16/04/2024,2:40 (after cobalt),BIR-1G,analysis 4,1.46,8.36,13.62,42.13,12.05,0.93,0.18,9.47,88.2
16/04/2024,2:40 (after cobalt),BIR-1G,analysis 5,1.21,6.77,11.03,34.11,9.76,0.72,0.14,7.72,71.46
16/04/2024,4:30pm,BIR-1G,analysis 1,2.03,10.82,17.92,54.2,15.25,1.18,0.22,11.92,113.54
16/04/2024,4:30pm,BIR-1G,analysis 2,1.51,8.22,13.3,41.29,11.75,0.9,0.13,9.18,86.28
16/04/2024,4:30pm,BIR-1G,analysis 3,1.78,9.46,15.53,47.45,13.45,1,0.26,10.63,99.56
16/04/2024,4:30pm,BIR-1G,analysis 4,1.57,8.34,13.65,42.06,11.94,0.89,0.14,9.56,88.15
16/04/2024,4:30pm,BIR-1G,analysis 5,1.19,6.53,10.85,33.3,9.52,0.69,0.13,7.48,69.69
19/04/2024,Morning,BIR-1G,analysis 1,1.99,10.98,17.62,54.43,15.16,1.21,0.24,11.83,113.46
19/04/2024,Morning,BIR-1G,analysis 2,1.77,9.85,15.84,48.72,13.77,1.01,0.22,10.64,101.82
19/04/2024,Morning,BIR-1G,analysis 3,1.74,9.15,15.13,46.41,13.28,0.98,0.21,10.33,97.23
19/04/2024,Morning,BIR-1G,analysis 4,1.55,8.37,13.67,42.07,12.02,0.95,0.23,9.46,88.32
19/04/2024,Morning,BIR-1G,analysis 5,1.19,6.54,10.82,33.18,9.46,0.73,0.13,7.47,69.52
19/04/2024,4:00pm,BIR-1G,analysis 1,2.01,10.89,18.24,55.19,15.31,1.2,0.22,12.17,115.23
19/04/2024,4:00pm,BIR-1G,analysis 2,1.74,9.75,16.09,49.04,13.66,1.08,0.23,10.75,102.34
19/04/2024,4:00pm,BIR-1G,analysis 3,1.48,8.5,13.89,42.68,12.15,0.95,0.23,9.61,89.49
19/04/2024,4:00pm,BIR-1G,analysis 4,1.49,8.42,13.81,42.4,12.17,0.93,0.18,9.49,88.89
19/04/2024,4:00pm,BIR-1G,analysis 5,1.22,6.78,11.19,34.4,9.8,0.75,0.13,7.81,72.08
19/04/2024,4:40pm,BIR-1G,analysis 1,1.97,10.53,17.39,53.57,15.36,1.16,0.25,12.08,112.31
19/04/2024,4:40pm,BIR-1G,analysis 2,1.76,9.41,15.4,47.89,13.77,1.02,0.21,10.68,100.14
19/04/2024,4:40pm,BIR-1G,analysis 3,1.41,8.13,13.52,41.41,12.4,0.83,-,9.56,87.26
19/04/2024,4:40pm,BIR-1G,analysis 4,1.53,8.41,14.1,43.45,12.75,1.02,0.17,10.09,91.52
19/04/2024,4:40pm,BIR-1G,analysis 5,1.29,6.92,11.56,35.69,10.51,0.8,0.17,8.32,75.26
